enum1;chemical1;Unnamed: 2;enum2;chemical2;Unnamed: 5;Unnamed: 6;Unnamed: 7;enum3;chemical3;colour;legal
E955;Sucralose;;E904;Shellac;;;;E491;Sorbitan monostearate;emulsifier;Approved in the EU.[23]
E957;Thaumatin;;E905;Microcrystalline wax;;;;E492;Sorbitan tristearate;emulsifier;Approved in the EU.[23]
E959;Neohesperidine DC;;E907;Hydrogenated Poly-1-Decene;;;;E493;Sorbitan monolaurate;emulsifier;Approved in the EU.[23]
E961;Neotame;;E914;Oxidised Polyethylene wax;;;;E494;Sorbitan monooleate;emulsifier;Approved in the EU.[23]
E962;Salt of aspartame-acesulfame;;E920;L-Cysteine;;;;E495;Sorbitan monopalmitate;emulsifier;Approved in the EU.[23]
E965;Maltitols;;E927b;Carbamide;;;;E496;Sorbitan trioleate;emulsifier;
E966;Lactitol;;E938;Argon;;;;E497;Polyoxypropylene-polyoxyethylene polymers;;
E967;Xylitol;;E939;Helium;;;;E498;Partial polyglycerol esters of polycondensed fatty acids of castor oil;;
E968;Erythritol;;E941;Nitrogen;;;;E499;Stigmasterol-rich plant sterols;;Approved in the EU.[23]
E999;Quillaia extract;;E942;Nitrous oxide;;;;E500;"Sodium carbonates; Sodium carbonate; Sodium bicarbonate;Sodium hydrogen carbonate;; Sodium sesquicarbonate";raising agent;Approved in the EU.[20]
E1103;Invertase;;E943a;Butane;;;;E501;"Potassium carbonates; Potassium carbonate; Potassium bicarbonate;Potassium hydrogen carbonate";acidity regulator;Approved in the EU.[20]
E1105;Lysozyme;;E943b;Iso-butane;;;;E503;"Ammonium carbonates; Ammonium carbonate; Ammonium bicarbonate;Ammonium hydrogen carbonate";acidity regulator;Approved in the EU.[20]
E1200;Polydextrose;;E944;Propane;;;;E504;"Magnesium carbonates; Magnesium carbonate; Magnesium bicarbonate Magnesium hydrogen carbonate";acidity regulator, anti-caking agent;Approved in the EU.[20]
E1201;Polyvinylpyrrolidone;;E948;Oxygen;;;;E505;Ferrous carbonate;acidity regulator;
E1202;Polyvinylpolypyrrolidone;;E949;Hydrogen;;;;E507;Hydrochloric acid;acid;Approved in the EU.[20]
E1203;Polyvinyl alcohol (PVA);;E999;Quillaia extract;;;;E508;Potassium chloride ;seasoning;Approved in the EU.[20]
E1204;Pullulan;;E1200;Polydextrose;;;;E509;Calcium chloride ;firming agent;Approved in the EU.[20]
E1205;Basic methacrylate copolymer;;E1201;Polyvinylpyrrolidone;;;;E510;"Ammonium chloride; ammonia solution  ";improving agent;
E1404;Oxidised starch;;E1202;Polyvinylpolypyrrolidone;;;;E511;Magnesium chloride;firming agent;Approved in the EU.[20]
E1410;Monostarch phosphate;;E1203;Polyvinyl alcohol;;;;E512;Stannous chloride;antioxidant;Approved in the EU.[20]
E1412;Distarch phosphate;;E1204;Pullulan;;;;E513;Sulfuric acid;acid;Approved in the EU.[20]
E1413;Phosphated distarch phosphate;;E1205;Basic methacrylate copolymer;;;;E514;"Sodium sulfates; Sodium sulfate; sodium bisulfate";acid;Approved in the EU.[20]
E1414;Acetylated distarch phosphate;;E1206;Neutral methacrylate copolymer;;;;E515;"Potassium sulfates; potassium sulfate; potassium bisulfate";;Approved in the EU.[20]
E1420;Acetylated starch;;E1207;Anionic methacrylate copolymer;;;;E516;Calcium sulfate;;Approved in the EU.[20]
E1422;Acetylated distarch adipate;;E1208;Polyvinylpyrrolidone-vinyl acetate copolymer;;;;E517;Ammonium sulfate;acidity regulator;Approved in the EU.[20]
E1440;Hydroxy propyl starch;;E1209;Polyvinyl alcohol-polyethylene glycol-graft- co-polymer;;;;E518;"Magnesium sulfate;Epsom salts ";firming agent;
E1442;Hydroxy propyl distarch phosphate;;E1404;Oxidised starch;;;;E519;"Copper; sulfate";preservative;
E1450;Starch sodium octenyl succinate;;E1410;Monostarch phosphate;;;;E520;Aluminium sulfate;firming agent;Approved in the EU.[20]
E1451;Acetylated oxidised starch;;E1412;Distarch phosphate;;;;E521;Aluminium sodium sulfate;firming agent;Approved in the EU.[20]
E1452;Starch Aluminium Octenyl Succinate;;E1413;Phosphated distarch phosphate;;;;E522;Aluminium potassium sulfate;acidity regulator;Approved in the EU.[20]
E1505;Triethyl citrate;;E1414;Acetylated distarch phosphate;;;;E523;Aluminium ammonium sulfate;acidity regulator;Approved in the EU.[20]
E1517;Glyceryl diacetate (diacetin);;E1420;Acetylated starch;;;;E524;Sodium hydroxide;acidity regulator;Approved in the EU.[20]
E1518;Glyceryl triacetate (triacetin);;E1422;Acetylated distarch adipate;;;;E525;Potassium hydroxide;acidity regulator;Approved in the EU.[20]
E1519;Benzyl alcohol;;E1440;Hydroxyl propyl starch;;;;E526;Calcium hydroxide ;firming agent;Approved in the EU.[20]
E1520;"Propane-1; 2-diol (propylene glycol)";;E1442;Hydroxy propyl distarch phosphate;;;;E527;Ammonium hydroxide;acidity regulator;Approved in the EU.[20]
E1521;Polyethylene glycol;;E1450;Starch sodium octenyl succinate;;;;E528;Magnesium hydroxide;acidity regulator;Approved in the EU.[20]
E960;Steviol Glycosides;;E1451;Acetylated oxidised starch;;;;E529;Calcium oxide ;improving agent;Approved in the EU.[20]
E1208;Polyvinylpyrrolidone-vinyl acetate copolymer;;E1452;Starch aluminium Octenyl succinate;;;;E530;Magnesium oxide ;anti-caking agent;Approved in the EU.[20]
E905a;High viscosity mineral oils;;E1505;Triethyl citrate;;;;E535;Sodium ferrocyanide;anti-caking agent;Approved in the EU.[20]
E341(iii);Tricalcium phosphate;;E1517;Glyceryl diacetate (diacetin);;;;E536;Potassium ferrocyanide;anti-caking agent;Approved in the EU.[20]
E423;Octenyl succinic acid modified gum arabic;;E1518;"Glyceryl triacetate; triacetin";;;;E537;Ferrous hexacyanomanganate;anti-caking agent;
E964;Polyglycitol syrup;;E1519;Benzyl alcohol;;;;E538;Calcium ferrocyanide;anti-caking agent;Approved in the EU.[20]
E534;Iron (III) meso-Tartrate;;E1520;"Propan-1;2-diol; propylene glycol";;;;E539;Sodium thiosulfate;antioxidant;
E499;Stigmasterol-rich plant sterols;;E1521;Polyethylene glycol;;;;E540;Dicalcium diphosphate;emulsifier;
E969;Advantame;;;;;;;E541;"Sodium aluminium phosphate; Acidic; Basic";emulsifier;Approved in the EU.[20]
E926;Chlorine dioxide;;;;;;;E542;"Bone phosphate;Essentiale Calcium Phosphate; Tribasic";anti-caking agent;
E641;L-leucine;;;;;;;E543;Calcium sodium polyphosphate;emulsifier;
E243;Ethyl lauroyl arginate;;;;;;;E544;Calcium polyphosphate;emulsifier;
E172;Iron oxides and hydroxides ;;;;;;;E545;Ammonium polyphosphate;emulsifier;
E1209;Polyvinyl alcohol-polyethylene glycol-graft co-polymer;;;;;;;E550;"Sodium Silicates; Sodium silicate; Sodium metasilicate";anti-caking agent;
E1206;Neutral Methacrylate Copolymer;;;;;;;E551;"Silicon dioxide;Silica";anti-caking agent;Approved in the EU.[20]
E1207;Anionic methacrylate copolymer;;;;;;;E552;Calcium silicate;anti-caking agent;Approved in the EU.[20]
E450(ix);Magnesium dihydrogen diphosphate;;;;;;;E553a;" Magnesium silicate; Magnesium trisilicate";anti-caking agent;Approved in the EU.[20]
E500(ii); Sodium hydrogenate carbonate;;;;;;;E553b;Talc;anti-caking agent;Approved in the EU.[20]
E501(ii); Potassium hydrogen carbonate;;;;;;;E554;"Sodium aluminosilicate;sodium aluminium silicate";anti-caking agent;removed from list per Commission Regulation (EU) No 380/2012 of 3 May 2012
E150a,b,d;"Plain caramel; Caustic sulphite caramel and Sulphite ammonia caramel";;;;;;;E555;Potassium aluminium silicate;anti-caking agent;removed from list per Commission Regulation (EU) No 380/2012 of 3 May 2012
E460(i);"Microcrystalline cellulose; Cellulose Gel";;;;;;;E556;"Calcium aluminosilicate;calcium aluminium silicate";anti-caking agent;removed from list per Commission Regulation (EU) No 380/2012 of 3 May 2012
E460(ii);Powdered cellulose;;;;;;;E557;Zinc silicate;anti-caking agent;removed from list per Commission Regulation (EU) No 380/2012 of 3 May 2012
E456;Potassium Polyaspartate;;;;;;;E558;Bentonite;anti-caking agent;removed from list per Commission Regulation (EU) No 380/2012 of 3 May 2012
E456;Potassium polyaspartate;;;;;;;E559;"Aluminium silicate;Kaolin";anti-caking agent;removed from list per Commission Regulation (EU) No 380/2012 of 3 May 2012
EXXX;Monk fruit extract;;;;;;;E560;Potassium silicate;anti-caking agent;
E424;Curdlan;;;;;;;E561;Vermiculite;;
E463a;Low-substituted hydroxypropyl cellulose (L-HPC);;;;;;;E562;Sepiolite;;
E246;Glycolipids;;;;;;;E563;Sepiolitic clay;;
E160b(i);Annatto bixin;;;;;;;E565;Lignosulfonates;;
E160b(ii);Annatto norbixin;;;;;;;E566;Natrolite-phonolite;;
E262(ii);Sodium diacetate ;;;;;;;E570;Fatty acids;anti-caking agent;Approved in the EU.[20]
;;;;;;;;E572;"Magnesium stearate; calcium stearate ";anti-caking agent;
;;;;;;;;E574;Gluconic acid;acidity regulator;Approved in the EU.[20]
;;;;;;;;E575;Glucono delta-lactone ;sequestrant;Approved in the EU.[20]
;;;;;;;;E576;Sodium gluconate;sequestrant;Approved in the EU.[20]
;;;;;;;;E577;Potassium gluconate;sequestrant;Approved in the EU.[20]
;;;;;;;;E578;Calcium gluconate;firming agent;Approved in the EU.[20]
;;;;;;;;E579;Ferrous gluconate;food colouring;Approved in the EU.[20]
;;;;;;;;E580;Magnesium gluconate;;
;;;;;;;;E585;Ferrous lactate;food colouring;Approved in the EU.[20]
;;;;;;;;E586;4-Hexylresorcinol;antioxidant;Approved in the EU.[22]
;;;;;;;;E598;Synthetic calcium aluminates;;
;;;;;;;;E599;Perlite;;
;;;;;;;;E620;Glutamic acid;flavour enhancer;Approved in the EU.[20]
;;;;;;;;E621;"Monosodium glutamate;MSG";flavour enhancer;Approved in the EU.[20]
;;;;;;;;E622;Monopotassium glutamate;flavour enhancer;Approved in the EU.[20]
;;;;;;;;E623;Calcium diglutamate;flavour enhancer;Approved in the EU.[20]
;;;;;;;;E624;Monoammonium glutamate;flavour enhancer;Approved in the EU.[20]
;;;;;;;;E625;Magnesium diglutamate;flavour enhancer;Approved in the EU.[20]
;;;;;;;;E626;Guanylic acid;flavour enhancer;Approved in the EU.[20]
;;;;;;;;E627;"Disodium guanylate; sodium guanylate";flavour enhancer;Approved in the EU.[20]
;;;;;;;;E628;Dipotassium guanylate;flavour enhancer;Approved in the EU.[20]
;;;;;;;;E629;Calcium guanylate;flavour enhancer;Approved in the EU.[20]
;;;;;;;;E630;Inosinic acid;flavour enhancer;Approved in the EU.[20]
;;;;;;;;E631;Disodium inosinate;flavour enhancer;Approved in the EU.[20]
;;;;;;;;E632;Dipotassium inosinate;flavour enhancer;Approved in the EU.[20]
;;;;;;;;E633;Calcium inosinate;flavour enhancer;Approved in the EU.[20]
;;;;;;;;E634;Calcium 5'-ribonucleotides;flavour enhancer;Approved in the EU.[20]
;;;;;;;;E635;Disodium 5'-ribonucleotides;flavour enhancer;Approved in the EU.[20]
;;;;;;;;E636;Maltol;flavour enhancer;
;;;;;;;;E637;Ethyl maltol;flavour enhancer;
;;;;;;;;E640;Glycine and its sodium salt;flavour enhancer;Approved in the EU.[20]
;;;;;;;;E650;Zinc acetate;flavour enhancer;Approved in the EU.[20]
;;;;;;;;E701;Tetracyclines;antibiotic;
;;;;;;;;E702;Chlortetracycline;antibiotic;
;;;;;;;;E703;Oxytetracycline;antibiotic;
;;;;;;;;E704;Oleandomycin;antibiotic;
;;;;;;;;E705;Penicillin G potassium;antibiotic;
;;;;;;;;E706;Penicillin G sodium;antibiotic;
;;;;;;;;E707;Penicillin G procaine;antibiotic;
;;;;;;;;E708;Penicillin G benzathine;antibiotic;
;;;;;;;;E710;Spiramycins;antibiotic;
;;;;;;;;E711;Virginiamycins;antibiotic;
;;;;;;;;E712;Flavomycin;antibiotic;
;;;;;;;;E713;Tylosin;antibiotic;
;;;;;;;;E714;Monensin A;antibiotic;
;;;;;;;;E715;Avoparcin;antibiotic;
;;;;;;;;E716;Salinomycin;antibiotic;
;;;;;;;;E717;Avilamycin;antibiotic;
;;;;;;;;E900;Dimethyl polysiloxane;anti-caking agent;Approved in the EU.[20]
;;;;;;;;E901;"Beeswax; white and yellow";glazing agent;Approved in the EU.[20]
;;;;;;;;E902;Candelilla wax;glazing agent;Approved in the EU.[20]
;;;;;;;;E903;Carnauba wax;glazing agent;Approved in the EU.[20]
;;;;;;;;E904;Shellac;glazing agent;Approved in the EU.[20]
;;;;;;;;E905;Paraffins;;Approved in the EU.[20]
;;;;;;;;E905a;Mineral oil;anti-foaming agent;
;;;;;;;;E905b;Petrolatum;;
;;;;;;;;E905c;"Petroleum wax;Microcrystalline wax; Paraffin wax";glazing agent;
;;;;;;;;E906;Gum benzoic;flavour enhancer;
;;;;;;;;E907;Crystalline wax;glazing agent;
;;;;;;;;E908;Rice bran wax;glazing agent;
;;;;;;;;E909;Spermaceti wax;glazing agent;
;;;;;;;;E910;Wax esters;glazing agent;
;;;;;;;;E911;Methyl esters of fatty acids;glazing agent;
;;;;;;;;E912;"Montanic acid esters; Montan acid esters";glazing agent;Approved in the EU.[20]
;;;;;;;;E913;"Lanolin; sheep wool grease";glazing agent;
;;;;;;;;E914;"Oxidized polyethylene wax; oxidized polyethylene";glazing agent;Approved in the EU.[20]
;;;;;;;;E915;Esters of colophony;glazing agent;
;;;;;;;;E916;Calcium iodate;;
;;;;;;;;E917;Potassium iodate;;
;;;;;;;;E918;Nitrogen oxides;;
;;;;;;;;E919;Nitrosyl chloride;;
;;;;;;;;E920;L-cysteine;improving agent;Banned in the EU[citation needed]
;;;;;;;;E921;L-cystine;improving agent;
;;;;;;;;E922;Potassium persulfate;improving agent;
;;;;;;;;E923;Ammonium persulfate;improving agent;
;;;;;;;;E924;Potassium bromate;improving agent;Banned in the EU[citation needed]
;;;;;;;;E924b;Calcium bromate;improving agent;
;;;;;;;;E925;Chlorine;preservative, bleach, improving agent;
;;;;;;;;E926;Chlorine dioxide ;bleach;
;;;;;;;;E927a;Azodicarbonamide;improving agent;
;;;;;;;;E927b;"Carbamide;urea";improving agent;Approved in the EU.[20]
;;;;;;;;E928;"Benzoyl peroxide;improving agent";bleach;
;;;;;;;;E929;Acetone peroxide;;
;;;;;;;;E930;"Calcium peroxide;improving agent";bleach;
;;;;;;;;E938;Argon;packaging gas;Approved in the EU.[20]
;;;;;;;;E939;Helium;packaging gas;Approved in the EU.[20]
;;;;;;;;E940;Dichlorodifluoromethane;packaging gas;Banned in all countries, in compliance with the Montreal Protocol.
;;;;;;;;E941;"Nitrogen;packaging gas";propellant;Approved in the EU.[20]
;;;;;;;;E942;Nitrous oxide;propellant;Approved in the EU.[20]
;;;;;;;;E943a;Butane;propellant;Approved in the EU.[20]
;;;;;;;;E943b;Isobutane;propellant;Approved in the EU.[20]
;;;;;;;;E944;Propane;propellant;Approved in the EU.[20]
;;;;;;;;E945;Chloropentafluoroethane;propellant;
;;;;;;;;E946;Octafluorocyclobutane;propellant;
;;;;;;;;E948;Oxygen;packaging gas;Approved in the EU.[20]
;;;;;;;;E949;Hydrogen;packaging gas;Approved in the EU.[20]
;;;;;;;;E950;Acesulfame potassium;sweetener;Approved in the EU.[25]
;;;;;;;;E951;Aspartame;sweetener;Approved in the EU.[25]
;;;;;;;;E952;Cyclamate;sweetener;Approved in the EU.[25]
;;;;;;;;E953;"Isomalt; Isomaltitol";sweetener;Approved in the EU.[25]
;;;;;;;;E954;"Saccharin and its sodium; potassium and calcium salts";sweetener;Approved in the EU.[25]
;;;;;;;;E955;"Sucralose;Trichlorogalactosucrose";sweetener;Approved in the EU.[25]
;;;;;;;;E956;Alitame;sweetener;
;;;;;;;;E957;Thaumatin;flavour enhancer;Approved in the EU.[25]
;;;;;;;;E958;Glycyrrhizin;flavour enhancer;
;;;;;;;;E959;Neohesperidine dihydrochalcone;flavour enhancer;Approved in the EU.[25]
;;;;;;;;E960;Steviol glycosides;sweetener;Approved in the EU.[27]
;;;;;;;;E961;Neotame;sweetener;Approved in 2010[24]
;;;;;;;;E962;Aspartame-acesulfame salt;stabiliser;Approved in the EU.[25]
;;;;;;;;E965;"Maltitol; Maltitol; Maltitol syrup";humectant;Approved in the EU.[25]
;;;;;;;;E966;Lactitol;sweetener;Approved in the EU.[25]
;;;;;;;;E967;Xylitol;sweetener;Approved in the EU.[25]
;;;;;;;;E968;Erythritol;sweetener;Approved in the EU.[25]
;;;;;;;;E969;Advantame;sweetener;Approved in the EU.[25]
;;;;;;;;E999;Quillaia extract;foaming agent;Approved in the EU.[20]
;;;;;;;;E1000;Cholic acid;emulsifier;
;;;;;;;;E1001;Choline salts;emulsifier;
;;;;;;;;E1100;Amylase;stabiliser, flavour enhancer;
;;;;;;;;E1101;"Proteases;Protease;Papain;Bromelain;Ficin";stabiliser, flavour enhancer;
;;;;;;;;E1102;Glucose oxidase;antioxidant;
;;;;;;;;E1103;Invertase;stabiliser;Approved in the EU.[23]
;;;;;;;;E1104;Lipases;;
;;;;;;;;E1105;Lysozyme;preservative;
;;;;;;;;E1200;Polydextrose;stabiliser, thickening agent, humectant, carrier;Approved in the EU.[20]
;;;;;;;;E1201;Polyvinylpyrrolidone;stabiliser;Approved in the EU.[20]
;;;;;;;;E1202;Polyvinylpolypyrrolidone;stabiliser;Approved in the EU.[20]
;;;;;;;;E1203;Polyvinyl alcohol;;Approved in 2010[24]
;;;;;;;;E1204;Pullulan;;Approved in the EU.[20]
;;;;;;;;E1400;"Dextrin;Dextrins; roasted starch white and yellow";thickening agent;
;;;;;;;;E1401;"Modified starch;Acid-treated starch";thickening agent;
;;;;;;;;E1402;Alkaline modified starch ;thickening agent;
;;;;;;;;E1403;Bleached starch;thickening agent;
;;;;;;;;E1404;Oxidized starch;thickening agent;Approved in the EU.[20]
;;;;;;;;E1405;Enzyme treated starch;;
;;;;;;;;E1410;Monostarch phosphate;thickening agent;Approved in the EU.[20]
;;;;;;;;E1411;Distarch glycerol;emulsifier;
;;;;;;;;E1412;"Distarch phosphate esterified with sodium trimetasphosphate; esterified with phosphorus oxychloride";thickening agent;Approved in the EU.[20]
;;;;;;;;E1413;Phosphated distarch phosphate ;thickening agent;Approved in the EU.[20]
;;;;;;;;E1414;Acetylated distarch phosphate;thickening agent;Approved in the EU.[20]
;;;;;;;;E1420;Starch acetate esterified with acetic anhydride;thickening agent;Approved in the EU.[20]
;;;;;;;;E1421;Starch acetate esterified with vinyl acetate ;thickening agent;
;;;;;;;;E1422;Acetylated distarch adipate;thickening agent;Approved in the EU.[20]
;;;;;;;;E1423;Acetylated distarch glycerol;thickening agent;
;;;;;;;;E1430;Distarch glycerine;thickening agent;
;;;;;;;;E1440;Hydroxy propyl starch;thickening agent;Approved in the EU.[20]
;;;;;;;;E1441;Hydroxy propyl distarch glycerine ;thickening agent;
;;;;;;;;E1442;Hydroxy propyl distarch phosphate ;thickening agent;Approved in the EU.[20]
;;;;;;;;E1443;Hydroxy propyl distarch glycerol;;
;;;;;;;;E1450;Starch sodium octenyl succinate ;thickening agent;Approved in the EU.[20]
;;;;;;;;E1451;Acetylated oxidised starch;thickening agent;Approved in the EU.[20]
;;;;;;;;E1452;Starch aluminium octenyl succinate;;Approved in the EU.[20]
;;;;;;;;E1501;Benzylated hydrocarbons;;
;;;;;;;;E1502;Butane-1,3-diol;;
;;;;;;;;E1503;Castor oil;resolving agent;
;;;;;;;;E1504;Ethyl acetate;flavour solvent;
;;;;;;;;E1505;Triethyl citrate;foam stabiliser;Approved in the EU.[20]
;;;;;;;;E1510;Ethanol;;
;;;;;;;;E1516;Glyceryl monoacetate;flavour solvent;
;;;;;;;;E1517;Glyceryl diacetate or diacetin;flavour solvent;
;;;;;;;;E1518;Glyceryl triacetate or triacetin;humectant and flavour solvent;Approved in the EU.[20]
;;;;;;;;E1519;Benzyl alcohol;;
;;;;;;;;E1520;Propylene glycol;humectant and flavour solvent;Approved in the EU.[20]
;;;;;;;;E1521;Polyethylene glycol 8000;;Approved in 2010[24]
;;;;;;;;E1525;Hydroxyethyl cellulose;thickening agent;
